created_at,solved_at,average hours to resolution,initial_response,month created,cases count,channel,satisfaction,subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric_set_id,metric_set_full_resolution_time_in_minutes_business,metric_set_agent_wait_time_in_minutes_calendar,via_source_from_address,via_source_from_name,via_source_to_address,via_source_to_name,via_source_rel,requester_domain,submitter_domain,assignee_domain,Username__c,Order ID__c,Username of person being reported__c,Links to evidence of abuse__c,satisfaction_rating_id,satisfaction_rating_comment,via_source_from_ticket_id,via_source_from_subject,_BATCH_ID_,_BATCH_LAST_RUN_
4/22/17 0:00,1/26/18 0:00,51,201,2017-04,x8GpsH0a,email,bad,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NfeaLyVQ,,1,Hyacinth@modocorp.com,Lavinia House,Forrest@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
9/28/17 0:00,6/8/17 0:00,55,211,2017-09,PrWGyIq9,api,bad,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUPtuouJ,,1,Lamar@modocorp.com,Jelani Baldwin,Lavinia@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,Big thanks.,,,1,3/31/18 21:04
8/5/17 0:00,10/17/17 0:00,56,273,2017-08,n71odb6f,api,bad,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lh9plmf2,,0,Vielka@modocorp.com,Blossom Santiago,Virginia@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,service was good a quick,,,1,3/31/18 21:04
9/1/17 0:00,4/14/17 0:00,1,747,2017-09,pe4s88QQ,api,unoffered,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38L2yHSV,,1,Jolene@modocorp.com,Hedley Hopper,Kerry@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,service was good a quick,,,1,3/31/18 21:04
12/9/17 0:00,11/15/17 0:00,45,2376,2017-12,nXsSn9WX,email,good,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dg3hi7OS,,1,Vielka@modocorp.com,Blossom Santiago,Virginia@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,service was good a quick,,,1,3/31/18 21:04
11/7/17 0:00,12/20/17 0:00,46,1840,2017-11,vcghFfhg,email,good,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xe6OFn1b,,0,Forrest@modocorp.com,Dillon Keller,Lavinia@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
5/18/17 0:00,3/23/18 0:00,58,3409,2017-05,XALEVHS4,email,bad,power troubles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vpMgh3b2,,1,Hoyt@modocorp.com,Lila Villarreal,Lawrence@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
3/25/18 0:00,12/31/17 0:00,48,3376,2018-03,DpXrWB7Z,api,good,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G4YYRzkd,,1,Rudyard@modocorp.com,Colton Baldwin,Noble@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
4/4/17 0:00,1/25/18 0:00,55,132,2017-04,x6LfVGlf,api,unoffered,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yths76Cw,,1,Rajah@modocorp.com,Karina Ortega,Chaim@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,huge thanks for the fast response,,,1,3/31/18 21:04
3/5/18 0:00,2/2/18 0:00,33,2146,2018-03,SyWW2Y6H,api,bad,power troubles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dNQS5P6y,,0,Marcia@modocorp.com,Jolene Flynn,Amal@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,huge thanks for the fast response,,,1,3/31/18 21:04
3/24/18 0:00,10/11/17 0:00,27,58,2018-03,hfAkq4dN,email,bad,power troubles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PU5F1Jnn,,1,Hoyt@modocorp.com,Lila Villarreal,Lawrence@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
12/5/17 0:00,4/27/17 0:00,56,2669,2017-12,QgQGoRl1,email,bad,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qPjy8in8,,0,Luke@modocorp.com,Kareem Cardenas,Jelani@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,service was good a quick,,,1,3/31/18 21:04
7/6/17 0:00,9/5/17 0:00,45,3329,2017-07,gIKBnAze,api,unoffered,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,duw0sOdX,,0,Sylvia@modocorp.com,Jason Whitfield,Inga@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,Big thanks.,,,1,3/31/18 21:04
2/2/18 0:00,7/16/17 0:00,40,2017,2018-02,qrw6m1Yc,api,unoffered,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thqTAPsY,,1,Rajah@modocorp.com,Karina Ortega,Chaim@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,huge thanks for the fast response,,,1,3/31/18 21:04
4/19/17 0:00,1/12/18 0:00,3,1341,2017-04,Ry0cbmqo,api,bad,power troubles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uyEwMPNP,,1,Abra@modocorp.com,Lunea Beasley,Shad@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,A bit slow. Still reliable.,,,1,3/31/18 21:04
3/13/18 0:00,10/18/17 0:00,11,497,2018-03,58KdUkp9,api,good,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5icCQ4K5,,0,Anthony@modocorp.com,Anthony Conner,Edan@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
5/14/17 0:00,6/23/17 0:00,7,798,2017-05,BEO0kwx4,api,bad,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rozx5XVL,,1,Tamekah@modocorp.com,Chaim Vincent,Xaviera@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,huge thanks for the fast response,,,1,3/31/18 21:04
4/30/17 0:00,3/1/18 0:00,23,2245,2017-04,6w1ib4my,api,unoffered,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LHEVM8No,,1,Quail@modocorp.com,Yuri Bean,Ifeoma@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,A bit slow. Still reliable.,,,1,3/31/18 21:04
2/16/18 0:00,5/19/17 0:00,66,1126,2018-02,fk1i874Q,email,bad,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KkfCIkrf,,0,Kendall@modocorp.com,Faith Conner,Blaine@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,A bit slow. Still reliable.,,,1,3/31/18 21:04
5/6/17 0:00,2/22/18 0:00,38,2566,2017-05,BlQ9wQj9,api,good,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSmpAV6V,,0,Baxter@modocorp.com,Leslie Oneal,Fulton@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
10/11/17 0:00,10/24/17 0:00,63,2670,2017-10,St3o1nKe,email,bad,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glDkmdUG,,0,Germane@modocorp.com,Whoopi Diaz,Gemma@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,Big thanks.,,,1,3/31/18 21:04
10/2/17 0:00,7/16/17 0:00,66,3148,2017-10,P86CDOwz,email,unoffered,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d0PQnuqj,,1,Jescie@modocorp.com,Riley Mcgowan,Lila@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,service was good a quick,,,1,3/31/18 21:04
5/8/17 0:00,9/6/17 0:00,57,3693,2017-05,yVKrQirW,api,good,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EOlLZwY1,,0,Katell@modocorp.com,Hanna Hopper,Stone@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,Big thanks.,,,1,3/31/18 21:04
2/24/18 0:00,2/28/17 0:00,65,3480,2018-02,lBYHortC,api,bad,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sFO328jo,,1,Kimberley@modocorp.com,Kendall Cross,Jelani@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,Big thanks.,,,1,3/31/18 21:04
4/23/17 0:00,7/30/17 0:00,63,1856,2017-04,pnDH9FUQ,api,bad,power troubles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J0YFxsw5,,0,Tamekah@modocorp.com,Chaim Vincent,Xaviera@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,huge thanks for the fast response,,,1,3/31/18 21:04
9/18/17 0:00,3/4/17 0:00,85,1933,2017-09,cRV55ktD,api,good,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YxULU5U8,,1,Xerxes@modocorp.com,Linus Preston,Tara@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,A bit slow. Still reliable.,,,1,3/31/18 21:04
3/4/17 0:00,5/1/17 0:00,7,2238,2017-03,vSzAh5l6,email,good,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sC61O1Df,,1,Vielka@modocorp.com,Blossom Santiago,Virginia@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,service was good a quick,,,1,3/31/18 21:04
3/7/18 0:00,12/29/17 0:00,19,3700,2018-03,pbDCAafm,api,bad,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jgFkyGyr,,1,Willow@modocorp.com,Isabella Robbins,Jolene@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,huge thanks for the fast response,,,1,3/31/18 21:04
7/9/17 0:00,11/26/17 0:00,14,2459,2017-07,xHYYT0M7,email,bad,power troubles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oncbx4j4,,1,Hoyt@modocorp.com,Lila Villarreal,Lawrence@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
12/18/17 0:00,3/13/17 0:00,35,196,2017-12,NNUsTGJA,api,bad,power troubles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXBhiOTu,,0,Hyatt@modocorp.com,Fletcher Dorsey,Riley@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,service was good a quick,,,1,3/31/18 21:04
1/4/18 0:00,3/5/18 0:00,53,3648,2018-01,V7ptJwEX,api,unoffered,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScCd8WiW,,0,Hoyt@modocorp.com,Lila Villarreal,Lawrence@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
4/23/17 0:00,12/13/17 0:00,30,1609,2017-04,KRQQzoNh,api,good,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBZZ7Gvs,,0,Rudyard@modocorp.com,Colton Baldwin,Noble@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
10/30/17 0:00,7/13/17 0:00,60,123,2017-10,hVwBuvHa,api,good,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vS7PObP1,,1,Naida@modocorp.com,Zorita Adams,Wilma@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,Big thanks.,,,1,3/31/18 21:04
6/15/17 0:00,12/19/17 0:00,24,314,2017-06,zzfct2KE,api,good,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aKZQ34gu,,0,Sylvia@modocorp.com,Jason Whitfield,Inga@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,Big thanks.,,,1,3/31/18 21:04
1/17/18 0:00,11/21/17 0:00,47,2873,2018-01,QoGfqp2r,api,bad,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HDSA33Hu,,1,Willow@modocorp.com,Isabella Robbins,Jolene@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,huge thanks for the fast response,,,1,3/31/18 21:04
1/4/18 0:00,10/15/17 0:00,13,3613,2018-01,Li2xx5Sz,api,bad,power troubles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fiDUAXho,,0,Abra@modocorp.com,Lunea Beasley,Shad@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,A bit slow. Still reliable.,,,1,3/31/18 21:04
3/20/17 0:00,7/16/17 0:00,37,1880,2017-03,W0SZBk1d,email,unoffered,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wailaqWR,,0,Kendall@modocorp.com,Micah Barry,Uma@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,A bit slow. Still reliable.,,,1,3/31/18 21:04
9/25/17 0:00,6/5/17 0:00,23,3287,2017-09,j6mJHgIA,email,unoffered,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cSZ1gMpf,,1,Jescie@modocorp.com,Riley Mcgowan,Lila@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,service was good a quick,,,1,3/31/18 21:04
12/12/17 0:00,9/6/17 0:00,30,2262,2017-12,e48YczZs,email,bad,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rO3nDWNt,,0,Kendall@modocorp.com,Faith Conner,Blaine@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,A bit slow. Still reliable.,,,1,3/31/18 21:04
12/8/17 0:00,5/3/17 0:00,59,3769,2017-12,IJvRS4pd,email,bad,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YWx28OYa,,0,Hyacinth@modocorp.com,Lavinia House,Forrest@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
10/23/17 0:00,5/23/17 0:00,42,1655,2017-10,BzkaFvq2,api,good,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGlGTiZE,,0,Sylvia@modocorp.com,Jason Whitfield,Inga@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,Big thanks.,,,1,3/31/18 21:04
8/31/17 0:00,4/30/17 0:00,59,3313,2017-08,pu3FyJuj,api,bad,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zHxI3V6r,,1,Willow@modocorp.com,Isabella Robbins,Jolene@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,huge thanks for the fast response,,,1,3/31/18 21:04
5/26/17 0:00,10/27/17 0:00,37,3829,2017-05,c9xVCoWg,email,good,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w9Hpan3T,,1,Rajah@modocorp.com,Karina Ortega,Chaim@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,huge thanks for the fast response,,,1,3/31/18 21:04
11/18/17 0:00,6/6/17 0:00,46,1911,2017-11,ZTiUch1V,api,unoffered,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4X72mnBy,,0,Hoyt@modocorp.com,Lila Villarreal,Lawrence@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
10/6/17 0:00,2/6/18 0:00,5,1547,2017-10,bZXxrkZA,api,bad,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZeFyj1op,,1,Cain@modocorp.com,Omar Norris,Emmanuel@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,service was good a quick,,,1,3/31/18 21:04
10/27/17 0:00,12/21/17 0:00,98,716,2017-10,UKPqBV6C,email,good,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jEOgjQch,,1,Yuri@modocorp.com,Kathleen Preston,Illana@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,service was good a quick,,,1,3/31/18 21:04
10/23/17 0:00,4/3/17 0:00,62,1041,2017-10,TeMMaulo,api,bad,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlkACK5a,,1,Wilma@modocorp.com,Uma Martinez,Lionel@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,service was good a quick,,,1,3/31/18 21:04
12/4/17 0:00,12/7/17 0:00,20,1581,2017-12,jyrhUrFQ,api,good,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2BOSz6HG,,0,Hyacinth@modocorp.com,Lavinia House,Forrest@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
11/22/17 0:00,2/19/18 0:00,63,2825,2017-11,d9Frk8jj,api,bad,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hJG4xVRl,,0,Kimberley@modocorp.com,Kendall Cross,Jelani@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,Big thanks.,,,1,3/31/18 21:04
